Reporting_PHU,count
Algoma Public Health Unit,192
Brant County Health Unit,1611
Chatham-Kent Health Unit,1324
Durham Region Health Department,11316
Eastern Ontario Health Unit,2530
Grey Bruce Health Unit,680
Haldimand-Norfolk Health Unit,1309
"Haliburton, Kawartha, Pine Ridge District Health Unit",951
Halton Region Health Department,8696
Hamilton Public Health Services,9844
Hastings and Prince Edward Counties Health Unit,385
Huron Perth District Health Unit,1268
"Kingston, Frontenac and Lennox & Addington Public Health",699
Lambton Public Health,1984
"Leeds, Grenville and Lanark District Health Unit",787
Middlesex-London Health Unit,5912
Niagara Region Public Health Department,8113
North Bay Parry Sound District Health Unit,254
Northwestern Health Unit,392
Ottawa Public Health,13831
Peel Public Health,58429
Peterborough Public Health,596
Porcupine Health Unit,303
"Region of Waterloo, Public Health",10135
Renfrew County and District Health Unit,311
Simcoe Muskoka District Health Unit,6067
Southwestern Public Health,2392
Sudbury & District Health Unit,565
Thunder Bay District Health Unit,1281
Timiskaming Health Unit,91
Toronto Public Health,88591
Wellington-Dufferin-Guelph Public Health,4518
Windsor-Essex County Health Unit,12347
York Region Public Health Services,27558
