Topic,Characteristics,Total,Male,Female
Population and dwellings,Population; 2016,645862,,
Population and dwellings,Population; 2011,608124,,
Population and dwellings,Population percentage change; 2011 to 2016,6.2,,
Population and dwellings,Total private dwellings,233936,,
Population and dwellings,Private dwellings occupied by usual residents,227906,,
Population and dwellings,Population density per square kilometre,255.9,,
Population and dwellings,Land area in square kilometres,2523.8,,
Age characteristics,Total - Age groups and average age of the population - 100% data,645865,314675,331190
Age characteristics,0 to 14 years,116185,59425,56760
Age characteristics,0 to 4 years,35695,18205,17490
Age characteristics,5 to 9 years,39930,20440,19490
Age characteristics,10 to 14 years,40560,20775,19790
Age characteristics,15 to 64 years,436890,213685,223200
Age characteristics,15 to 19 years,42970,21910,21055
Age characteristics,20 to 24 years,43235,22330,20900
Age characteristics,25 to 29 years,37590,18860,18730
Age characteristics,30 to 34 years,39640,19135,20505
Age characteristics,35 to 39 years,41400,19475,21925
Age characteristics,40 to 44 years,43545,20880,22665
Age characteristics,45 to 49 years,46935,22380,24555
Age characteristics,50 to 54 years,55045,26565,28475
Age characteristics,55 to 59 years,48595,23935,24655
Age characteristics,60 to 64 years,37940,18215,19725
Age characteristics,65 years and over,92790,41560,51225
Age characteristics,65 to 69 years,31860,15085,16775
Age characteristics,70 to 74 years,21950,10480,11475
Age characteristics,75 to 79 years,15785,7035,8745
Age characteristics,80 to 84 years,11740,5090,6650
Age characteristics,85 years and over,11460,3875,7580
Age characteristics,85 to 89 years,7320,2705,4615
Age characteristics,90 to 94 years,3285,980,2300
Age characteristics,95 to 99 years,750,170,580
Age characteristics,100 years and over,105,25,80
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,100,100,100
Age characteristics,0 to 14 years,18,18.9,17.1
Age characteristics,15 to 64 years,67.6,67.9,67.4
Age characteristics,65 years and over,14.4,13.2,15.5
Age characteristics,85 years and over,1.8,1.2,2.3
Age characteristics,Average age of the population,39.6,38.6,40.5
Age characteristics,Median age of the population,40.2,39,41.3
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,227905,,
Household and dwelling characteristics,Single-detached house,152220,,
Household and dwelling characteristics,Apartment in a building that has five or more storeys,15510,,
Household and dwelling characteristics,Other attached dwelling,60050,,
Household and dwelling characteristics,Semi-detached house,12430,,
Household and dwelling characteristics,Row house,24465,,
Household and dwelling characteristics,Apartment or flat in a duplex,8650,,
Household and dwelling characteristics,Apartment in a building that has fewer than five storeys,14230,,
Household and dwelling characteristics,Other single-attached house,280,,
Household and dwelling characteristics,Movable dwelling,125,,
Household and dwelling characteristics,Total - Private households by household size - 100% data,227905,,
Household and dwelling characteristics,1 person,44380,,
Household and dwelling characteristics,2 persons,69545,,
Household and dwelling characteristics,3 persons,41960,,
Household and dwelling characteristics,4 persons,44640,,
Household and dwelling characteristics,5 or more persons,27375,,
Household and dwelling characteristics,Number of persons in private households,639490,,
Household and dwelling characteristics,Average household size,2.8,,
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,529675,255250,274425
Marital status,Married or living common law,309895,154730,155170
Marital status,Married,266470,133040,133430
Marital status,Living common law,43430,21690,21745
Marital status,Not married and not living common law,219780,100525,119260
Marital status,Never married,146925,77565,69360
Marital status,Separated,16310,6540,9770
Marital status,Divorced,29715,10900,18815
Marital status,Widowed,26830,5520,21315
Family characteristics,Total - Census families in private households by family size - 100% data,186135,,
Family characteristics,2 persons,80035,,
Family characteristics,3 persons,43850,,
Family characteristics,4 persons,44345,,
Family characteristics,5 or more persons,17900,,
Family characteristics,Average size of census families,3,,
Family characteristics,Total number of census families in private households - 100% data,186135,,
Family characteristics,Total couple families,152285,,
Family characteristics,Married couples,130585,,
Family characteristics,Common-law couples,21705,,
Family characteristics,Total lone-parent families by sex of parent,33850,,
Family characteristics,Female parent,26910,,
Family characteristics,Male parent,6940,,
Family characteristics,Total - Couple census families in private households - 100% data,152285,,
Family characteristics,Couples without children,60435,,
Family characteristics,Couples with children,91845,,
Family characteristics,1 child,33525,,
Family characteristics,2 children,41335,,
Family characteristics,3 or more children,16990,,
Family characteristics,Total - Lone-parent census families in private households - 100% data,33850,,
Family characteristics,1 child,19595,,
Family characteristics,2 children,10330,,
Family characteristics,3 or more children,3925,,
Family characteristics,Total - Persons not in census families in private households - 100% data,75950,34200,41745
Household type,Total - Private households by household type - 100% data,227905,,
Household type,One-census-family households,169205,,
Household type,Without children in a census family,54185,,
Household type,With children in a census family,115020,,
Household type,Multiple-census-family households,8250,,
Household type,Non-census-family households,50450,,
Household type,One-person households,44385,,
Household type,Two-or-more person non-census-family households,6070,,
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,640985,312945,328045
Knowledge of official languages,English only,588525,291225,297300
Knowledge of official languages,French only,435,190,245
