,_id
,count
Reporting_PHU,
Algoma Public Health Unit,24
Brant County Health Unit,251
Chatham-Kent Health Unit,34
Durham Region Health Department,1364
Eastern Ontario Health Unit,127
Grey Bruce Health Unit,51
Haldimand-Norfolk Health Unit,139
"Haliburton, Kawartha, Pine Ridge District Health Unit",76
Halton Region Health Department,1064
Hamilton Public Health Services,962
Hastings and Prince Edward Counties Health Unit,60
Huron Perth District Health Unit,95
"Kingston, Frontenac and Lennox & Addington Public Health",84
Lambton Public Health,95
"Leeds, Grenville and Lanark District Health Unit",24
Middlesex-London Health Unit,792
Niagara Region Public Health Department,886
North Bay Parry Sound District Health Unit,35
Northwestern Health Unit,51
Ottawa Public Health,1155
Peel Public Health,6520
Peterborough Public Health,101
Porcupine Health Unit,178
"Region of Waterloo, Public Health",450
Renfrew County and District Health Unit,48
Simcoe Muskoka District Health Unit,610
Southwestern Public Health,129
Sudbury & District Health Unit,49
Thunder Bay District Health Unit,33
Timiskaming Health Unit,3
Toronto Public Health,8640
Wellington-Dufferin-Guelph Public Health,349
Windsor-Essex County Health Unit,370
York Region Public Health Services,1807
