,_id
,count
Reporting_PHU,
Algoma Public Health Unit,76
Brant County Health Unit,788
Chatham-Kent Health Unit,528
Durham Region Health Department,3899
Eastern Ontario Health Unit,962
Grey Bruce Health Unit,173
Haldimand-Norfolk Health Unit,388
"Haliburton, Kawartha, Pine Ridge District Health Unit",378
Halton Region Health Department,3009
Hamilton Public Health Services,4241
Hastings and Prince Edward Counties Health Unit,126
Huron Perth District Health Unit,352
"Kingston, Frontenac and Lennox & Addington Public Health",250
Lambton Public Health,1089
"Leeds, Grenville and Lanark District Health Unit",452
Middlesex-London Health Unit,1711
Niagara Region Public Health Department,2586
North Bay Parry Sound District Health Unit,100
Northwestern Health Unit,438
Ottawa Public Health,4394
Peel Public Health,18505
Peterborough Public Health,355
Porcupine Health Unit,160
"Region of Waterloo, Public Health",3296
Renfrew County and District Health Unit,133
Simcoe Muskoka District Health Unit,2682
Southwestern Public Health,665
Sudbury & District Health Unit,957
Thunder Bay District Health Unit,2020
Timiskaming Health Unit,38
Toronto Public Health,30566
Wellington-Dufferin-Guelph Public Health,1489
Windsor-Essex County Health Unit,2362
York Region Public Health Services,9549
